Here is surprise
打眼  ,  1  ,  {'surprise': 0.9, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
两样  ,  1  ,  {'surprise': 0.6, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
紧凑  ,  1  ,  {'surprise': 0.6, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
泻下  ,  1  ,  {'surprise': 0.6, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
砰然  ,  1  ,  {'surprise': 0.6, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
发愣  ,  1  ,  {'surprise': 0.6, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
遽然  ,  1  ,  {'surprise': 0.6, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
奇才  ,  1  ,  {'love': 0.7, 'surprise': 0.6, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
判若两人  ,  1  ,  {'surprise': 0.6, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
想不到  ,  6  ,  {'surprise': 0.57, 'anxiety': 0.1, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
竟是  ,  12  ,  {'surprise': 0.57, 'love': 0.1, 'joy': 0.05, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
震撼力  ,  3  ,  {'surprise': 0.57, 'love': 0.23, 'anxiety': 0.17, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
罕见  ,  3  ,  {'surprise': 0.57, 'joy': 0.13, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
居然  ,  97  ,  {'surprise': 0.55, 'anger': 0.1, 'joy': 0.04, 'anxiety': 0.03, 'sorrow': 0.01, 'love': 0.0, 'expect': 0.0, 'hate': 0.0}
敢情  ,  4  ,  {'surprise': 0.55, 'joy': 0.08, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
猛地  ,  2  ,  {'surprise': 0.55, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
出人意料  ,  4  ,  {'surprise': 0.55, 'anxiety': 0.17, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
超常  ,  3  ,  {'surprise': 0.53, 'joy': 0.23, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
震憾  ,  4  ,  {'surprise': 0.53, 'love': 0.15, 'sorrow': 0.15, 'anxiety': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
突然间  ,  5  ,  {'surprise': 0.52, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
目瞪口呆  ,  5  ,  {'surprise': 0.52, 'anxiety': 0.16, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
突如其来  ,  17  ,  {'surprise': 0.52, 'anxiety': 0.16, 'sorrow': 0.04, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
出奇  ,  6  ,  {'surprise': 0.5, 'anxiety': 0.12, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
竟然  ,  121  ,  {'surprise': 0.5, 'anxiety': 0.05, 'anger': 0.05, 'sorrow': 0.01, 'hate': 0.01, 'love': 0.0, 'joy': 0.0, 'expect': 0.0}
哑然  ,  1  ,  {'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
赫然在目  ,  1  ,  {'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
惊魂  ,  1  ,  {'sorrow': 0.6, 'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
竟然有  ,  2  ,  {'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
哗然  ,  5  ,  {'surprise': 0.5, 'anxiety': 0.1, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
刹那  ,  1  ,  {'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
不会吧  ,  1  ,  {'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
刹那间  ,  3  ,  {'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
乍然  ,  1  ,  {'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
一字不差  ,  1  ,  {'surprise': 0.5, 'hate': 0.4, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0}
骤降  ,  1  ,  {'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
保准  ,  1  ,  {'love': 0.5, 'surprise': 0.5, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
滂沱  ,  1  ,  {'anxiety': 0.5, 'surprise': 0.5, 'hate': 0.4, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0}
失常  ,  1  ,  {'anxiety': 0.9, 'surprise': 0.5, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
惊世  ,  1  ,  {'love': 0.5, 'surprise': 0.5, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
助攻  ,  1  ,  {'love': 0.6, 'surprise': 0.5, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
贯穿  ,  1  ,  {'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
反响  ,  1  ,  {'surprise': 0.5, 'anxiety': 0.4, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
真快  ,  1  ,  {'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
迅猛  ,  1  ,  {'surprise': 0.5, 'love': 0.3, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
原来如此  ,  1  ,  {'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
黑屋  ,  1  ,  {'surprise': 0.5, 'anxiety': 0.4, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
惊喜万分  ,  1  ,  {'joy': 0.8, 'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
行抢  ,  1  ,  {'hate': 0.6, 'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0}
惊鸿  ,  1  ,  {'surprise': 0.5, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
突然  ,  121  ,  {'surprise': 0.49, 'anxiety': 0.07, 'sorrow': 0.04, 'joy': 0.03, 'love': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
不可思议  ,  20  ,  {'surprise': 0.49, 'anxiety': 0.21, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
离奇  ,  5  ,  {'surprise': 0.48, 'anxiety': 0.1, 'hate': 0.04, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0}
始料未及  ,  4  ,  {'surprise': 0.48, 'sorrow': 0.15, 'anxiety': 0.13, 'joy': 0.13, 'love': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
一下子  ,  6  ,  {'surprise': 0.47, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
惊叫  ,  2  ,  {'surprise': 0.45, 'anxiety': 0.15, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
巧合  ,  2  ,  {'surprise': 0.45, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
着实  ,  2  ,  {'surprise': 0.45, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
意外  ,  36  ,  {'surprise': 0.44, 'anxiety': 0.16, 'sorrow': 0.1, 'love': 0.05, 'joy': 0.03, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
忽然  ,  28  ,  {'surprise': 0.44, 'anxiety': 0.01, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
惊叹  ,  12  ,  {'surprise': 0.43, 'sorrow': 0.13, 'love': 0.11, 'anxiety': 0.05, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
奇特  ,  6  ,  {'surprise': 0.43, 'love': 0.27, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
骤然  ,  3  ,  {'surprise': 0.43, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
惊吓  ,  4  ,  {'surprise': 0.43, 'anxiety': 0.35, 'sorrow': 0.15, 'anger': 0.1, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'hate': 0.0}
彩票  ,  7  ,  {'expect': 0.53, 'surprise': 0.43, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'hate': 0.0}
震撼  ,  31  ,  {'surprise': 0.42, 'love': 0.38, 'anxiety': 0.08, 'joy': 0.03, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
稀奇  ,  7  ,  {'surprise': 0.41, 'love': 0.24, 'joy': 0.07, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
怪事  ,  2  ,  {'surprise': 0.4, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
啧啧称奇  ,  1  ,  {'surprise': 0.4, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
直愣愣  ,  1  ,  {'surprise': 0.4, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
虚惊  ,  2  ,  {'surprise': 0.4, 'anxiety': 0.35, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
考证  ,  1  ,  {'surprise': 0.4, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
不计其数  ,  1  ,  {'surprise': 0.4, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
走马灯  ,  1  ,  {'surprise': 0.4, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
古稀之年  ,  1  ,  {'surprise': 0.4, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
