蹑手蹑脚  ,  3  ,  {'anxiety': 0.53, 'love': 0.17, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
失败  ,  91  ,  {'sorrow': 0.45, 'anxiety': 0.31, 'hate': 0.16, 'anger': 0.14, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
我希望  ,  33  ,  {'expect': 0.7, 'love': 0.1, 'joy': 0.1, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
感受  ,  11  ,  {'love': 0.18, 'expect': 0.16, 'joy': 0.13, 'anxiety': 0.06, 'sorrow': 0.03, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
宽容  ,  38  ,  {'love': 0.57, 'joy': 0.14, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
感恩  ,  39  ,  {'love': 0.66, 'joy': 0.19, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
承受  ,  32  ,  {'anxiety': 0.36, 'sorrow': 0.14, 'love': 0.12, 'joy': 0.06, 'expect': 0.01, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
抱怨  ,  65  ,  {'anger': 0.43, 'hate': 0.27, 'anxiety': 0.24, 'sorrow': 0.05, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
麻木  ,  29  ,  {'anxiety': 0.33, 'sorrow': 0.27, 'hate': 0.16, 'anger': 0.11, 'love': 0.0, 'joy': 0.0, 'expect': 0.0, 'surprise': 0.0}
帮助  ,  84  ,  {'love': 0.38, 'joy': 0.23, 'expect': 0.16, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
原始  ,  1  ,  {'love': 0.5, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
纯朴  ,  4  ,  {'love': 0.6, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
笑着  ,  27  ,  {'joy': 0.59, 'love': 0.13, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
自信  ,  61  ,  {'love': 0.47, 'joy': 0.22, 'expect': 0.1, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
香甜  ,  11  ,  {'love': 0.69, 'joy': 0.07, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
自作  ,  4  ,  {'hate': 0.6, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0}
希望  ,  477  ,  {'expect': 0.67, 'joy': 0.02, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
送给  ,  18  ,  {'love': 0.4, 'joy': 0.12, 'expect': 0.08, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
温馨  ,  95  ,  {'love': 0.64, 'joy': 0.31, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
祥和  ,  11  ,  {'love': 0.58, 'joy': 0.21, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
欢聚  ,  10  ,  {'joy': 0.71, 'love': 0.07, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
兴奋  ,  77  ,  {'joy': 0.63, 'love': 0.15, 'expect': 0.09, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
激动  ,  45  ,  {'joy': 0.63, 'love': 0.19, 'expect': 0.09, 'anxiety': 0.07, 'anger': 0.06, 'surprise': 0.02, 'sorrow': 0.0, 'hate': 0.0}
相聚  ,  23  ,  {'joy': 0.54, 'love': 0.28, 'expect': 0.04, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
交流  ,  16  ,  {'joy': 0.27, 'love': 0.2, 'expect': 0.07, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
切磋  ,  2  ,  {'expect': 0.3, 'anxiety': 0.2, 'love': 0.2, 'joy': 0.2, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
学艺  ,  1  ,  {'joy': 0.5, 'expect': 0.5, 'love': 0.4, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
深化  ,  2  ,  {'expect': 0.25, 'joy': 0.15, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
情谊  ,  12  ,  {'love': 0.66, 'joy': 0.05, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
付出  ,  101  ,  {'love': 0.4, 'anxiety': 0.15, 'joy': 0.11, 'expect': 0.11, 'sorrow': 0.09, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
辛劳  ,  7  ,  {'love': 0.2, 'sorrow': 0.15, 'anxiety': 0.14, 'expect': 0.07, 'joy': 0.06, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
衷心  ,  9  ,  {'love': 0.6, 'joy': 0.26, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
感谢  ,  115  ,  {'love': 0.44, 'joy': 0.4, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
问候  ,  41  ,  {'love': 0.49, 'joy': 0.15, 'expect': 0.1, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
气势磅礴  ,  3  ,  {'love': 0.77, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
不由自主  ,  14  ,  {'love': 0.31, 'anxiety': 0.17, 'expect': 0.06, 'sorrow': 0.03, 'hate': 0.03, 'joy': 0.0, 'anger': 0.0, 'surprise': 0.0}
沧海桑田  ,  3  ,  {'joy': 0.17, 'sorrow': 0.17, 'expect': 0.17, 'love': 0.1, 'anxiety': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
自豪  ,  48  ,  {'joy': 0.64, 'love': 0.37, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
认真  ,  86  ,  {'love': 0.51, 'joy': 0.12, 'expect': 0.11, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
出色  ,  18  ,  {'love': 0.68, 'joy': 0.1, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
活跃  ,  10  ,  {'love': 0.46, 'joy': 0.38, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
优秀  ,  61  ,  {'love': 0.56, 'joy': 0.19, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
宗旨  ,  2  ,  {'expect': 0.45, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
务实  ,  8  ,  {'love': 0.57, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
创新  ,  31  ,  {'love': 0.55, 'expect': 0.17, 'joy': 0.11, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
贡献  ,  30  ,  {'love': 0.58, 'joy': 0.2, 'expect': 0.08, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
创造  ,  44  ,  {'love': 0.26, 'joy': 0.21, 'expect': 0.2, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
良好  ,  26  ,  {'love': 0.56, 'joy': 0.1, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
成果  ,  16  ,  {'love': 0.45, 'joy': 0.31, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
创办  ,  4  ,  {'expect': 0.38, 'joy': 0.3, 'love': 0.22, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
佼佼者  ,  3  ,  {'love': 0.73, 'joy': 0.17, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
支持  ,  60  ,  {'love': 0.55, 'joy': 0.16, 'expect': 0.14, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
获得  ,  69  ,  {'joy': 0.41, 'love': 0.23, 'expect': 0.12, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
提高  ,  68  ,  {'joy': 0.3, 'expect': 0.21, 'love': 0.18, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
主要  ,  2  ,  {'love': 0.5, 'expect': 0.2, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
目标  ,  28  ,  {'expect': 0.53, 'love': 0.1, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
成为  ,  28  ,  {'joy': 0.36, 'expect': 0.15, 'love': 0.04, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
品牌  ,  21  ,  {'love': 0.42, 'joy': 0.13, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
期盼  ,  43  ,  {'expect': 0.75, 'love': 0.06, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
协助  ,  5  ,  {'love': 0.46, 'expect': 0.24, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
主办  ,  1  ,  {'joy': 0.5, 'expect': 0.5, 'anxiety': 0.0, 'love': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
提及  ,  2  ,  {'love': 0.45, 'expect': 0.25, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
飘逸  ,  14  ,  {'love': 0.64, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
绚丽  ,  15  ,  {'love': 0.76, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
华彩  ,  1  ,  {'love': 0.7, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
时尚  ,  27  ,  {'love': 0.5, 'joy': 0.11, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
潮流  ,  8  ,  {'love': 0.47, 'expect': 0.08, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
先端  ,  1  ,  {'love': 0.7, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
前沿  ,  8  ,  {'love': 0.54, 'expect': 0.24, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
沉浸  ,  9  ,  {'love': 0.52, 'joy': 0.13, 'anxiety': 0.04, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
激情  ,  66  ,  {'love': 0.46, 'joy': 0.31, 'expect': 0.06, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
经验  ,  7  ,  {'love': 0.45, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
奇想  ,  3  ,  {'love': 0.43, 'expect': 0.1, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
热烈  ,  33  ,  {'love': 0.53, 'joy': 0.25, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
雪白  ,  15  ,  {'love': 0.51, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
灿烂  ,  66  ,  {'love': 0.54, 'joy': 0.26, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
辉映  ,  3  ,  {'love': 0.53, 'joy': 0.33, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
亮丽  ,  10  ,  {'love': 0.68, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
风景  ,  13  ,  {'love': 0.53, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
金碧辉煌  ,  7  ,  {'love': 0.7, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
精彩  ,  65  ,  {'love': 0.58, 'joy': 0.2, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
庄严  ,  7  ,  {'love': 0.58, 'joy': 0.15, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
肃穆  ,  5  ,  {'love': 0.48, 'sorrow': 0.1, 'anxiety': 0.0, 'joy': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
奇迹  ,  32  ,  {'love': 0.5, 'joy': 0.42, 'expect': 0.14, 'surprise': 0.13, 'sorrow': 0.05, 'anxiety': 0.0, 'anger': 0.0, 'hate': 0.0}
传扬  ,  3  ,  {'love': 0.43, 'joy': 0.4, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
我愿  ,  12  ,  {'expect': 0.59, 'love': 0.05, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
奇妙  ,  10  ,  {'love': 0.38, 'joy': 0.23, 'surprise': 0.15, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'hate': 0.0}
勤学  ,  2  ,  {'love': 0.7, 'joy': 0.3, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
致词  ,  1  ,  {'love': 0.5, 'joy': 0.5, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
积极  ,  42  ,  {'love': 0.45, 'joy': 0.19, 'expect': 0.14, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
投身  ,  2  ,  {'love': 0.5, 'expect': 0.2, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
争取  ,  20  ,  {'expect': 0.59, 'love': 0.11, 'joy': 0.04, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
义不容辞  ,  3  ,  {'love': 0.5, 'anxiety': 0.17, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
断言  ,  5  ,  {'expect': 0.26, 'hate': 0.12, 'anger': 0.06, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'surprise': 0.0}
成批  ,  2  ,  {'joy': 0.4, 'love': 0.15, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
杰出  ,  4  ,  {'love': 0.65, 'joy': 0.15, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
强调  ,  14  ,  {'love': 0.32, 'expect': 0.11, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
兢兢业业  ,  6  ,  {'love': 0.63, 'joy': 0.1, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
复兴  ,  5  ,  {'joy': 0.46, 'expect': 0.44, 'love': 0.26, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
伟大  ,  100  ,  {'love': 0.72, 'joy': 0.08, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
繁荣  ,  9  ,  {'love': 0.59, 'joy': 0.15, 'expect': 0.07, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
富强  ,  3  ,  {'love': 0.63, 'joy': 0.2, 'expect': 0.2, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
考验  ,  19  ,  {'anxiety': 0.46, 'expect': 0.12, 'love': 0.07, 'anger': 0.02, 'joy': 0.0, 'sorrow': 0.0, 'surprise': 0.0, 'hate': 0.0}
倡导  ,  3  ,  {'expect': 0.7, 'love': 0.2, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
意义  ,  25  ,  {'love': 0.44, 'joy': 0.05, 'sorrow': 0.04, 'anxiety': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
价值  ,  21  ,  {'love': 0.51, 'joy': 0.04, 'expect': 0.04, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
洗礼  ,  10  ,  {'love': 0.31, 'expect': 0.12, 'joy': 0.1, 'surprise': 0.07, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'hate': 0.0}
崛起  ,  6  ,  {'joy': 0.53, 'love': 0.42, 'expect': 0.33, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
振兴  ,  6  ,  {'joy': 0.48, 'love': 0.28, 'expect': 0.22, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
知识化  ,  1  ,  {'love': 0.4, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
信息化  ,  2  ,  {'love': 0.4, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
改变  ,  36  ,  {'expect': 0.18, 'joy': 0.15, 'anxiety': 0.12, 'love': 0.11, 'sorrow': 0.07, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
可以  ,  124  ,  {'joy': 0.28, 'expect': 0.24, 'anxiety': 0.08, 'love': 0.08, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
基础  ,  6  ,  {'love': 0.42, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
智能化  ,  1  ,  {'love': 0.4, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
根基  ,  2  ,  {'love': 0.5, 'anxiety': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
充满  ,  27  ,  {'love': 0.22, 'joy': 0.15, 'expect': 0.07, 'sorrow': 0.05, 'hate': 0.04, 'anxiety': 0.0, 'anger': 0.0, 'surprise': 0.0}
和谐  ,  59  ,  {'love': 0.58, 'joy': 0.23, 'expect': 0.06, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
洋溢  ,  10  ,  {'joy': 0.4, 'love': 0.23, 'expect': 0.07, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
互爱  ,  1  ,  {'love': 0.6, 'joy': 0.6, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
成熟  ,  103  ,  {'love': 0.41, 'joy': 0.23, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
变革  ,  4  ,  {'expect': 0.4, 'love': 0.13, 'joy': 0.13, 'anxiety': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
应该  ,  164  ,  {'expect': 0.46, 'anxiety': 0.09, 'joy': 0.03, 'love': 0.02, 'anger': 0.01, 'sorrow': 0.0, 'surprise': 0.0, 'hate': 0.0}
大有作为  ,  4  ,  {'joy': 0.8, 'love': 0.52, 'anxiety': 0.0, 'sorrow': 0.0, 'expect': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
必将  ,  2  ,  {'expect': 0.9, 'anxiety': 0.0, 'love': 0.0, 'joy': 0.0, 'sorrow': 0.0, 'anger': 0.0, 'surprise': 0.0, 'hate': 0.0}
